i_episode: 0,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 50,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 51,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 52,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 53,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 54,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 55,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 56,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 57,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 58,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 59,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 60,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 61,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 62,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 63,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 64,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 65,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 66,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 67,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 68,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 69,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 70,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 71,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 72,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 73,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 74,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 75,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 76,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 77,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 78,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 79,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 80,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 81,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 82,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 83,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 84,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 85,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 86,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 87,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 88,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 89,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 90,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 91,	 reward_accu: -1, 	 action_length: 5,	 running times: 5
i_episode: 92,	 reward_accu: -1, 	 action_length: 12,	 running times: 12
i_episode: 93,	 reward_accu: -1, 	 action_length: 20,	 running times: 20
i_episode: 94,	 reward_accu: -1, 	 action_length: 12,	 running times: 12
i_episode: 95,	 reward_accu: -1, 	 action_length: 11,	 running times: 11
i_episode: 96,	 reward_accu: -1, 	 action_length: 11,	 running times: 11
i_episode: 97,	 reward_accu: -1, 	 action_length: 14,	 running times: 14
i_episode: 98,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 99,	 reward_accu: -1, 	 action_length: 12,	 running times: 12
i_episode: 100,	 reward_accu: -1, 	 action_length: 11,	 running times: 11
i_episode: 101,	 reward_accu: -1, 	 action_length: 12,	 running times: 12
i_episode: 102,	 reward_accu: -1, 	 action_length: 11,	 running times: 11
i_episode: 103,	 reward_accu: -1, 	 action_length: 11,	 running times: 11
i_episode: 104,	 reward_accu: -1, 	 action_length: 18,	 running times: 18
i_episode: 105,	 reward_accu: 0, 	 action_length: 16,	 running times: 16
i_episode: 106,	 reward_accu: -1, 	 action_length: 16,	 running times: 16
i_episode: 107,	 reward_accu: 0, 	 action_length: 13,	 running times: 13
i_episode: 108,	 reward_accu: -1, 	 action_length: 19,	 running times: 19
i_episode: 109,	 reward_accu: 0, 	 action_length: 23,	 running times: 23
i_episode: 110,	 reward_accu: 0, 	 action_length: 24,	 running times: 24
i_episode: 111,	 reward_accu: 0, 	 action_length: 22,	 running times: 22
i_episode: 112,	 reward_accu: 0, 	 action_length: 13,	 running times: 13
i_episode: 113,	 reward_accu: -1, 	 action_length: 23,	 running times: 23
i_episode: 114,	 reward_accu: -1, 	 action_length: 23,	 running times: 23
i_episode: 115,	 reward_accu: -1, 	 action_length: 23,	 running times: 23
i_episode: 116,	 reward_accu: 1, 	 action_length: 59,	 running times: 59
i_episode: 117,	 reward_accu: 1, 	 action_length: 63,	 running times: 63
i_episode: 118,	 reward_accu: 1, 	 action_length: 30,	 running times: 30
i_episode: 119,	 reward_accu: 0, 	 action_length: 31,	 running times: 31
i_episode: 120,	 reward_accu: 0, 	 action_length: 15,	 running times: 15
i_episode: 121,	 reward_accu: 0, 	 action_length: 57,	 running times: 57
i_episode: 122,	 reward_accu: 1, 	 action_length: 47,	 running times: 47
i_episode: 123,	 reward_accu: 3, 	 action_length: 31,	 running times: 31
i_episode: 124,	 reward_accu: 1, 	 action_length: 39,	 running times: 39
i_episode: 125,	 reward_accu: 0, 	 action_length: 77,	 running times: 77
i_episode: 126,	 reward_accu: 4, 	 action_length: 48,	 running times: 48
i_episode: 127,	 reward_accu: 1, 	 action_length: 25,	 running times: 25
i_episode: 128,	 reward_accu: 0, 	 action_length: 52,	 running times: 52
i_episode: 129,	 reward_accu: 1, 	 action_length: 33,	 running times: 33
i_episode: 130,	 reward_accu: 1, 	 action_length: 32,	 running times: 32
i_episode: 131,	 reward_accu: 1, 	 action_length: 35,	 running times: 35
i_episode: 132,	 reward_accu: 1, 	 action_length: 39,	 running times: 39
i_episode: 133,	 reward_accu: 4, 	 action_length: 480,	 running times: 480
i_episode: 134,	 reward_accu: 27, 	 action_length: 456,	 running times: 456
i_episode: 135,	 reward_accu: 27, 	 action_length: 239,	 running times: 239
i_episode: 136,	 reward_accu: 27, 	 action_length: 503,	 running times: 503
i_episode: 137,	 reward_accu: 27, 	 action_length: 279,	 running times: 279
i_episode: 138,	 reward_accu: 27, 	 action_length: 256,	 running times: 256
i_episode: 139,	 reward_accu: 27, 	 action_length: 270,	 running times: 270
i_episode: 140,	 reward_accu: 27, 	 action_length: 293,	 running times: 293
i_episode: 141,	 reward_accu: 27, 	 action_length: 274,	 running times: 274
i_episode: 142,	 reward_accu: 27, 	 action_length: 282,	 running times: 282
i_episode: 143,	 reward_accu: 27, 	 action_length: 231,	 running times: 231
i_episode: 144,	 reward_accu: 27, 	 action_length: 251,	 running times: 251
i_episode: 145,	 reward_accu: 27, 	 action_length: 275,	 running times: 275
i_episode: 146,	 reward_accu: 27, 	 action_length: 322,	 running times: 322
i_episode: 147,	 reward_accu: 7, 	 action_length: 111,	 running times: 111
i_episode: 148,	 reward_accu: 16, 	 action_length: 148,	 running times: 148
i_episode: 149,	 reward_accu: 27, 	 action_length: 226,	 running times: 226
i_episode: 150,	 reward_accu: 27, 	 action_length: 242,	 running times: 242
i_episode: 151,	 reward_accu: 27, 	 action_length: 229,	 running times: 229
i_episode: 152,	 reward_accu: 27, 	 action_length: 238,	 running times: 238
i_episode: 153,	 reward_accu: 27, 	 action_length: 236,	 running times: 236
i_episode: 154,	 reward_accu: 27, 	 action_length: 229,	 running times: 229
i_episode: 155,	 reward_accu: 27, 	 action_length: 235,	 running times: 235
i_episode: 156,	 reward_accu: 27, 	 action_length: 271,	 running times: 271
i_episode: 157,	 reward_accu: 27, 	 action_length: 259,	 running times: 259
i_episode: 158,	 reward_accu: 27, 	 action_length: 273,	 running times: 273
i_episode: 159,	 reward_accu: 27, 	 action_length: 309,	 running times: 309
i_episode: 160,	 reward_accu: 27, 	 action_length: 246,	 running times: 246
i_episode: 161,	 reward_accu: 27, 	 action_length: 206,	 running times: 206
i_episode: 162,	 reward_accu: 27, 	 action_length: 258,	 running times: 258
i_episode: 163,	 reward_accu: 27, 	 action_length: 274,	 running times: 274
i_episode: 164,	 reward_accu: 27, 	 action_length: 294,	 running times: 294
i_episode: 165,	 reward_accu: 27, 	 action_length: 238,	 running times: 238
i_episode: 166,	 reward_accu: 27, 	 action_length: 239,	 running times: 239
i_episode: 167,	 reward_accu: 27, 	 action_length: 237,	 running times: 237
i_episode: 168,	 reward_accu: 27, 	 action_length: 279,	 running times: 279
i_episode: 169,	 reward_accu: 27, 	 action_length: 218,	 running times: 218
i_episode: 170,	 reward_accu: 27, 	 action_length: 238,	 running times: 238
i_episode: 171,	 reward_accu: 27, 	 action_length: 238,	 running times: 238
i_episode: 172,	 reward_accu: 27, 	 action_length: 267,	 running times: 267
i_episode: 173,	 reward_accu: 27, 	 action_length: 206,	 running times: 206
i_episode: 174,	 reward_accu: 27, 	 action_length: 228,	 running times: 228
i_episode: 175,	 reward_accu: 27, 	 action_length: 228,	 running times: 228
i_episode: 176,	 reward_accu: 27, 	 action_length: 225,	 running times: 225
i_episode: 177,	 reward_accu: 27, 	 action_length: 249,	 running times: 249
i_episode: 178,	 reward_accu: 27, 	 action_length: 244,	 running times: 244
i_episode: 179,	 reward_accu: 27, 	 action_length: 223,	 running times: 223
i_episode: 180,	 reward_accu: 27, 	 action_length: 245,	 running times: 245
i_episode: 181,	 reward_accu: 27, 	 action_length: 223,	 running times: 223
i_episode: 182,	 reward_accu: 27, 	 action_length: 224,	 running times: 224
i_episode: 183,	 reward_accu: 27, 	 action_length: 238,	 running times: 238
i_episode: 184,	 reward_accu: 27, 	 action_length: 235,	 running times: 235
i_episode: 185,	 reward_accu: 27, 	 action_length: 224,	 running times: 224
i_episode: 186,	 reward_accu: 27, 	 action_length: 226,	 running times: 226
i_episode: 187,	 reward_accu: 27, 	 action_length: 199,	 running times: 199
i_episode: 188,	 reward_accu: 27, 	 action_length: 248,	 running times: 248
i_episode: 189,	 reward_accu: 27, 	 action_length: 249,	 running times: 249
i_episode: 190,	 reward_accu: 27, 	 action_length: 226,	 running times: 226
i_episode: 191,	 reward_accu: 27, 	 action_length: 249,	 running times: 249
i_episode: 192,	 reward_accu: 27, 	 action_length: 235,	 running times: 235
i_episode: 193,	 reward_accu: 27, 	 action_length: 244,	 running times: 244
i_episode: 194,	 reward_accu: 27, 	 action_length: 209,	 running times: 209
i_episode: 195,	 reward_accu: 27, 	 action_length: 250,	 running times: 250
i_episode: 196,	 reward_accu: 27, 	 action_length: 226,	 running times: 226
i_episode: 197,	 reward_accu: 27, 	 action_length: 238,	 running times: 238
i_episode: 198,	 reward_accu: 27, 	 action_length: 250,	 running times: 250
i_episode: 199,	 reward_accu: 27, 	 action_length: 218,	 running times: 218
i_episode: 200,	 reward_accu: 27, 	 action_length: 255,	 running times: 255
i_episode: 201,	 reward_accu: 27, 	 action_length: 227,	 running times: 227
i_episode: 202,	 reward_accu: 27, 	 action_length: 238,	 running times: 238
i_episode: 203,	 reward_accu: 27, 	 action_length: 217,	 running times: 217
i_episode: 204,	 reward_accu: 27, 	 action_length: 209,	 running times: 209
i_episode: 205,	 reward_accu: 27, 	 action_length: 199,	 running times: 199
i_episode: 206,	 reward_accu: 27, 	 action_length: 229,	 running times: 229
i_episode: 207,	 reward_accu: 27, 	 action_length: 224,	 running times: 224
i_episode: 208,	 reward_accu: 27, 	 action_length: 218,	 running times: 218
i_episode: 209,	 reward_accu: 27, 	 action_length: 230,	 running times: 230
i_episode: 210,	 reward_accu: 27, 	 action_length: 209,	 running times: 209
i_episode: 211,	 reward_accu: 27, 	 action_length: 237,	 running times: 237
i_episode: 212,	 reward_accu: 27, 	 action_length: 219,	 running times: 219
i_episode: 213,	 reward_accu: 27, 	 action_length: 228,	 running times: 228
i_episode: 214,	 reward_accu: 27, 	 action_length: 241,	 running times: 241
i_episode: 215,	 reward_accu: 27, 	 action_length: 222,	 running times: 222
i_episode: 216,	 reward_accu: 27, 	 action_length: 230,	 running times: 230
i_episode: 217,	 reward_accu: 27, 	 action_length: 228,	 running times: 228
i_episode: 218,	 reward_accu: 27, 	 action_length: 210,	 running times: 210
i_episode: 219,	 reward_accu: 27, 	 action_length: 226,	 running times: 226
i_episode: 220,	 reward_accu: 27, 	 action_length: 224,	 running times: 224
i_episode: 221,	 reward_accu: 27, 	 action_length: 226,	 running times: 226
i_episode: 222,	 reward_accu: 27, 	 action_length: 223,	 running times: 223
i_episode: 223,	 reward_accu: 27, 	 action_length: 229,	 running times: 229
i_episode: 224,	 reward_accu: 27, 	 action_length: 233,	 running times: 233
i_episode: 225,	 reward_accu: 27, 	 action_length: 214,	 running times: 214
i_episode: 226,	 reward_accu: 27, 	 action_length: 216,	 running times: 216
i_episode: 227,	 reward_accu: 27, 	 action_length: 223,	 running times: 223
i_episode: 228,	 reward_accu: 27, 	 action_length: 215,	 running times: 215
i_episode: 229,	 reward_accu: 27, 	 action_length: 258,	 running times: 258
i_episode: 230,	 reward_accu: 27, 	 action_length: 224,	 running times: 224
i_episode: 231,	 reward_accu: 27, 	 action_length: 214,	 running times: 214
i_episode: 232,	 reward_accu: 27, 	 action_length: 243,	 running times: 243
i_episode: 233,	 reward_accu: 27, 	 action_length: 228,	 running times: 228
i_episode: 234,	 reward_accu: 27, 	 action_length: 230,	 running times: 230
i_episode: 235,	 reward_accu: 27, 	 action_length: 261,	 running times: 261
i_episode: 236,	 reward_accu: 27, 	 action_length: 203,	 running times: 203
i_episode: 237,	 reward_accu: 27, 	 action_length: 234,	 running times: 234
i_episode: 238,	 reward_accu: 27, 	 action_length: 210,	 running times: 210
i_episode: 239,	 reward_accu: 27, 	 action_length: 224,	 running times: 224
i_episode: 240,	 reward_accu: 27, 	 action_length: 208,	 running times: 208
i_episode: 241,	 reward_accu: 27, 	 action_length: 232,	 running times: 232
i_episode: 242,	 reward_accu: 27, 	 action_length: 239,	 running times: 239
i_episode: 243,	 reward_accu: 27, 	 action_length: 189,	 running times: 189
i_episode: 244,	 reward_accu: 27, 	 action_length: 212,	 running times: 212
i_episode: 245,	 reward_accu: 27, 	 action_length: 220,	 running times: 220
i_episode: 246,	 reward_accu: 27, 	 action_length: 218,	 running times: 218
i_episode: 247,	 reward_accu: 27, 	 action_length: 210,	 running times: 210
i_episode: 248,	 reward_accu: 27, 	 action_length: 210,	 running times: 210
[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, 0, 0, 0, 0, -1, -1, -1, 1, 1, 1, 0, 0, 0, 1, 3, 1, 0, 4, 1, 0, 1, 1, 1, 1, 4, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 7, 16, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27]
